pair,hour,hold,side,dow,n_tr,mean_tr,t_tr,n_te,mean_te,t_te,n,mean
GBPUSD,23,2,-1,,1587,-0.05374921235031853,-0.07470965892622766,823,0.5600243013365428,0.550018997881939,2410,0.155850622406647
GBPUSD,0,3,1,,1586,0.8196090794451784,1.157230628250393,825,-0.18739393939387844,-0.18190296289186028,2411,0.47503110742434806
GBPUSD,0,3,-1,,1586,-1.2196090794451788,-1.7220026188358386,825,-0.21260606060612142,-0.2063763240055097,2411,-0.8750311074243484
GBPUSD,1,3,1,,1586,1.3486128625472655,2.1488744588356408,825,-0.674303030303072,-0.7599007064746318,2411,0.6564081294068557
GBPUSD,1,3,-1,,1586,-1.7486128625472657,-2.786232893865494,825,0.2743030303030721,0.3091237279799115,2411,-1.0564081294068557
GBPUSD,2,3,1,,1583,0.5970941250789429,1.0115253679850764,825,-0.18945454545458124,-0.26827129252512905,2408,0.3276162790697413
GBPUSD,2,3,-1,,1583,-0.9970941250789425,-1.6891574701943148,825,-0.21054545454541873,-0.29813642681764674,2408,-0.727616279069741
GBPUSD,3,3,1,,1580,-0.14981012658233755,-0.30715295812848326,825,-0.9820606060606238,-1.3786617814972324,2405,-0.4353014553015003
GBPUSD,3,3,-1,,1580,-0.2501898734176624,-0.5129597141872111,825,0.5820606060606239,0.8171234108553188,2405,0.03530145530150027
GBPUSD,4,3,1,,1578,-1.489733840304175,-2.9824111156148643,822,-1.3693430656933872,-2.3724190346044773,2400,-1.4484999999999801
GBPUSD,4,3,-1,,1578,1.0897338403041748,2.1816207905442013,822,0.9693430656933869,1.6794096364364093,2400,1.0484999999999798
GBPUSD,5,3,1,,1522,-1.295466491458556,-3.223322536228698,821,-0.8252131546893962,-1.2064135029198708,2343,-1.1306871532223288
GBPUSD,5,3,-1,,1522,0.8954664914585561,2.2280601940589415,821,0.42521315468939586,0.6216368322794441,2343,0.7306871532223288
GBPUSD,6,3,1,,1532,0.6266318537858798,1.3647261679834775,809,2.716687268232396,4.347679303982838,2341,1.3489107219137018
GBPUSD,6,3,-1,,1532,-1.02663185378588,-2.235876371879627,809,-3.1166872682323965,-4.987823549486907,2341,-1.7489107219137023
GBPUSD,7,3,1,,1580,1.1925316455695805,2.4121306535327793,821,2.1130328867235235,3.3847827048469643,2401,1.5072886297375885
GBPUSD,7,3,-1,,1580,-1.5925316455695804,-3.2212096117287072,821,-2.513032886723524,-4.025526675490114,2401,-1.9072886297375886
GBPUSD,8,3,1,,1580,0.3244936708860452,0.6227330402344181,821,1.102436053593233,1.7632729768183744,2401,0.5905039566847129
GBPUSD,8,3,-1,,1580,-0.7244936708860453,-1.3903696336188334,821,-1.5024360535932328,-2.4030463119052436,2401,-0.9905039566847129
GBPUSD,9,3,1,,1580,0.5937341772151997,0.8113813955208522,821,-0.19464068209499527,-0.3214525566929037,2401,0.3241566014160868
GBPUSD,9,3,-1,,1580,-0.9937341772151999,-1.358010797470719,821,-0.20535931790500467,-0.339154574833726,2401,-0.7241566014160868
GBPUSD,10,3,1,,1579,0.34110196326791914,0.44631573598385943,821,0.6142509135201013,1.2239499468473563,2400,0.4345416666666864
