pair,hour,hold,n,mean,t,n_tr,t_tr,n_te,t_te,win
GBPJPY,21,1,2412,-0.28317220611614036,-0.5711873800953874,1588,-0.9613635724786266,824,0.5393714152279102,49.295190713101164
GBPJPY,22,1,2410,0.22715623466749854,0.4144065907416066,1587,1.7513945172077512,823,-2.35872944833021,50.12448132780083
GBPJPY,23,1,2411,0.6193146338442111,1.1574610295484686,1588,1.2804780510036835,823,0.18607386610187748,51.347988386561596
GBPJPY,0,2,2412,-1.0673808964777394,-1.6441448210607204,1587,-1.7466070739232336,825,-0.27378176987448677,47.92703150912106
GBPJPY,1,2,2412,-0.8361205316352635,-1.573253641923741,1587,-1.4687332842214296,825,-0.5996497449393875,48.217247097844115
GBPJPY,2,2,2409,-0.4985674811962325,-1.043375281546222,1584,-1.8738936600809728,825,1.1326871455547902,48.318804483188046
GBPJPY,3,2,2405,-0.9232089461116811,-2.005605262194971,1580,-2.442957627729145,825,0.151495848258319,49.48024948024948
GBPJPY,4,2,2399,-0.18298048986824514,-0.4263078884045769,1578,-1.2109494722040888,821,1.1725852506887056,50.81283868278449
GBPJPY,5,2,2342,1.2360928039074424,2.621992747518272,1520,-0.18532673140611883,822,6.229615421919145,55.16652433817251
GBPJPY,6,2,2342,-2.635512661506739,-5.3742963650567175,1533,-4.669636367800675,809,-2.824665864304296,41.33219470538002
GBPJPY,7,2,2401,-2.681210315949814,-4.804491697287851,1580,-1.240283559747084,821,-7.508385474262139,41.774260724698046
GBPJPY,8,2,2400,-0.2928867007894858,-0.5291987265964202,1579,0.36340838249843044,821,-1.945424794952837,46.58333333333333
GBPJPY,9,2,2400,0.7566549658772241,1.34398806377029,1579,0.3923955676014263,821,2.1222288483871843,50.74999999999999
GBPJPY,10,2,2399,1.1356939578183176,1.4313588216090636,1578,1.305161714465108,821,0.6221368707314096,50.395998332638605
GBPJPY,11,2,2401,0.7275776890480924,0.9313885841133562,1580,1.0181202374313565,821,-0.25345232817943353,49.47938359017076
GBPJPY,12,2,2401,0.6755160480651949,1.4423571076866069,1580,1.1190084689116457,821,1.124901158029422,48.93794252394835
GBPJPY,13,2,2407,0.22960810602402076,0.4874989475009591,1583,0.4669917420550932,824,0.14687865880152978,49.771499792272536
GBPJPY,14,2,2407,-0.2893781839635401,-0.5400834704671926,1583,0.00830616397553429,824,-1.3319897771195435,48.400498545907766
GBPJPY,15,2,2409,0.15087212029813885,0.2281823244376803,1585,0.048307158269705136,824,0.3970706227100916,49.68866749688667
GBPJPY,16,2,2411,0.8298777123171724,1.033985204579266,1587,0.6406708198078772,824,1.0059448824673045,50.51845707175446
GBPJPY,17,2,2411,0.2425280648679327,0.32146593139845603,1587,0.8679789088743649,824,-0.9372421605738455,51.4309415180423
GBPJPY,18,2,2411,-0.7974553445057362,-1.1932987142083196,1587,-0.6298147016336322,824,-1.3358812663179032,48.98382413936126
GBPJPY,19,2,2411,-0.24838856723490885,-0.384164188840825,1587,-0.48963970719118816,824,0.07699681164192228,49.77187888842804
GBPJPY,20,2,2411,-0.11441925989357034,-0.16811410832630252,1587,-0.6021899902129644,824,0.687274373750463,49.440066362505185
GBPJPY,21,2,2412,0.13805028096841754,0.18328004179311624,1588,0.8349506791962614,824,-1.13715062936498,49.25373134328358
GBPJPY,22,2,2410,1.055183838629618,1.4142663977694148,1587,2.428321074993914,823,-1.143875608275559,51.991701244813285
GBPJPY,23,2,2411,0.38993577950924724,0.5309217970374619,1588,0.4349278528853383,823,0.3056754251505399,48.19576939029449
GBPJPY,0,3,2412,-1.0929245785474075,-1.4725036805830385,1587,-1.5828951967988532,825,-0.20441905820323983,47.42951907131012
GBPJPY,1,3,2412,-1.1312744956286074,-1.8140578801288807,1587,-2.4868684989130925,825,0.5234540360591239,49.004975124378106
GBPJPY,2,3,2409,-0.9313921101297937,-1.6300502762424018,1584,-1.9703472501907975,825,0.17952754755619557,48.27729348277294
GBPJPY,3,3,2405,-0.5034412777953974,-0.9464990678000113,1580,-2.3226879063275274,825,1.9779870243426336,50.644490644490645
GBPJPY,4,3,2399,0.4199852885407437,0.7488999124939727,1578,-1.3342512658246892,821,4.515609552900184,52.56356815339724
GBPJPY,5,3,2341,-0.029610914063219432,-0.051238303015598057,1520,-1.1333871755325435,821,1.3509563843705363,48.056386159760784
GBPJPY,6,3,2342,-3.160655841107325,-5.366470754965546,1533,-3.0860022222705807,809,-5.215559079901912,40.22203245089667
GBPJPY,7,3,2401,-2.347867119072575,-3.5785870013779104,1580,-0.9765238743617877,821,-5.720740594408478,43.02374010828821
GBPJPY,8,3,2400,0.3200032821491488,0.45103069240066324,1579,0.725046471673759,821,-0.4752863603091345,48.625
GBPJPY,9,3,2400,1.4691699488158345,1.6631594347640621,1579,1.2229852206939666,821,1.5515694120366263,50.083333333333336
GBPJPY,10,3,2399,1.3367005865815695,1.4359919765447366,1578,1.185471202250027,821,1.0483137531970885,50.47936640266778
GBPJPY,11,3,2401,1.3984885660586241,1.6720535298957009,1580,1.6305913759001562,821,0.37343289560144205,50.020824656393174
GBPJPY,12,3,2401,0.4379721145800933,0.7770242853376822,1580,0.517191734472271,821,0.7875901515467332,49.27113702623907
GBPJPY,13,3,2407,0.3745949592022005,0.6040167313782749,1583,0.9566164679560161,824,-0.6691274367860192,50.14540922309929
GBPJPY,14,3,2407,-0.08203154682191004,-0.10676149051394129,1583,-0.2544291286761577,824,0.29205466673902525,50.06231823847113
GBPJPY,15,3,2409,0.970974016893901,1.095510375354353,1585,1.0017130918415662,824,0.44917442782959227,49.439601494396015
GBPJPY,16,3,2411,0.446620799085408,0.47676280842342095,1587,0.4877004677724703,824,0.09888345577592203,50.39402737453339
GBPJPY,17,3,2411,0.027458625713386135,0.03124671004639707,1587,0.4955475337182005,824,-0.8590798682291048,50.020738282870184
GBPJPY,18,3,2411,-0.6243870814620666,-0.759002543404459,1587,-0.44036717280361737,824,-0.759500592414794,49.066777270841975
GBPJPY,19,3,2411,-0.3506417475757354,-0.4229901871814654,1587,-0.7930847392706452,824,0.5274817618415825,50.10369141435089
GBPJPY,20,3,2411,0.3009551002052905,0.3355896006526691,1587,0.775501158279183,824,-0.7016555536829265,50.39402737453339
GBPJPY,21,3,2412,0.9539659687163139,1.044265471407034,1588,1.570706366162153,824,-0.5314952253817382,50.74626865671642
GBPJPY,22,3,2410,0.8351201562847211,0.9270627453863082,1587,1.6139804058625389,823,-0.8648551527488776,49.66804979253112
GBPJPY,23,3,2411,-0.23255796491291772,-0.2774148921005965,1588,-0.3445659946139733,823,0.03653972001977501,48.652011613438404
GBPJPY,0,4,2412,-1.388078542540754,-1.7208371884168356,1587,-2.3977027554002968,825,0.6077181530295341,47.51243781094527
GBPJPY,1,4,2412,-1.579040399920541,-2.2601585551067895,1587,-2.576362249439561,825,-0.12968875335743904,48.67330016583748
GBPJPY,2,4,2409,-0.5022823264439986,-0.8040000694647697,1584,-1.9776684539901337,825,1.7754787574427322,49.813200498132005
GBPJPY,3,4,2405,0.11541162960617977,0.1806722701606909,1580,-2.251947802470187,825,4.905801417323486,52.43243243243243
GBPJPY,4,4,2398,-0.7277834099191368,-1.1286686154851262,1578,-1.9082921157551112,820,0.6795891080966724,49.45788156797331
GBPJPY,5,4,2341,-0.5191907445947038,-0.7555592941139272,1520,-0.6009964895622304,821,-0.466499940665124,46.90303289192653
GBPJPY,6,4,2342,-2.9569348020912902,-4.42860805649792,1533,-2.746732888366966,809,-4.078613624255083,42.22886421861657
GBPJPY,7,4,2401,-1.7362648634697753,-2.159892116727601,1580,-0.39240995328025274,821,-3.9100965811718873,44.231570179092046
GBPJPY,8,4,2400,1.0325182650877567,0.9503937660223112,1579,1.2440890720905804,821,-0.8038737455621737,49.20833333333333
GBPJPY,9,4,2400,1.673476598421102,1.6644224641720462,1579,1.143080508507025,821,1.870780574101467,48.91666666666667
GBPJPY,10,4,2399,2.005485456278555,2.058081533886478,1578,1.7149875110402246,821,1.4551237301937328,50.47936640266778
GBPJPY,11,4,2401,1.1609446325735204,1.4830795171584106,1580,1.4825741605030065,821,0.24534061467896887,50.2707205331112
GBPJPY,12,4,2401,0.5899742035856079,0.835285978711232,1580,0.9463727145245919,821,-0.0963077994173433,49.81257809246147
GBPJPY,13,4,2407,0.5819415963438274,0.7005237448791901,1583,0.4784769531685144,824,0.6367585111370967,49.72995429995846
GBPJPY,14,4,2407,0.7438443798918299,0.7646188502031327,1583,0.6674529514254365,824,0.375765948684062,50.228500207727464
GBPJPY,15,4,2409,0.563803186216855,0.5601735574071888,1585,0.7991108243928712,824,-0.3005840609735734,50.06226650062266
GBPJPY,16,4,2411,0.23155135993085743,0.22446606106097747,1587,0.23129446552426963,824,0.044110785347216255,50.26959767731232
GBPJPY,17,4,2411,0.20052688875705207,0.19989342333293256,1587,0.49847976481244105,824,-0.4939107443314533,50.26959767731232
GBPJPY,18,4,2411,-0.7266402618028966,-0.7499302501663482,1587,-0.7262179094240689,824,-0.2408451286656739,50.559933637494815
GBPJPY,19,4,2411,0.06473261252312174,0.0637679213497375,1587,0.43957781147474967,824,-0.6650862773688472,50.186644545831605
GBPJPY,20,4,2411,1.1182373823281897,1.0787826023588962,1587,1.4512643796818434,824,-0.275336703560279,51.845707175445874
GBPJPY,21,4,2412,0.7156942601126647,0.6829622571642795,1588,1.0207487448229675,824,-0.36591230238694106,49.66832504145937
GBPJPY,22,4,2410,0.2336456855579775,0.2383261054154668,1587,0.8800352154699695,823,-1.0162449185846598,49.5850622406639
GBPJPY,23,4,2411,-0.260982858235877,-0.2894582118351406,1588,-0.36116993554703886,823,0.04243775654004362,47.53214433844878
GBPJPY,0,6,2412,-1.4098541322191251,-1.5892437082895963,1587,-2.5804254454018345,825,1.1849502106318455,47.92703150912106
GBPJPY,1,6,2412,-0.5346882947398022,-0.6516613671685397,1587,-2.5611593337897305,825,3.3659658634128893,51.533996683250415
GBPJPY,2,6,2408,-1.0532282086805886,-1.3453354175573993,1584,-2.500513491511987,824,1.3608795930977633,48.837209302325576
GBPJPY,3,6,2404,-1.4408814002052968,-1.8263766180292718,1580,-2.031043886149698,824,-0.15003108481998204,47.54575707154742
GBPJPY,4,6,2398,-0.9855033050372398,-1.2712880464472436,1578,-1.2354382532180082,820,-0.4056424883720815,46.16346955796497
GBPJPY,5,6,2341,0.3849900471404366,0.44082556804005335,1520,-0.08944553659240974,821,1.0403262957742587,47.15933361811192
GBPJPY,6,6,2342,-1.6251545515570616,-1.380372553182162,1533,-0.4641034179582191,809,-2.604934876148659,45.00426985482493
GBPJPY,7,6,2401,-0.8157259082825519,-0.6241011468738374,1580,0.5027726256128112,821,-3.482334856206978,44.564764681382755
GBPJPY,8,6,2400,1.902506564298311,1.534121558730049,1579,1.6021447336122774,821,-0.0068369101123530295,48.083333333333336
GBPJPY,9,6,2400,2.120048230964998,2.153460087218331,1579,1.5603414928189887,821,1.9322643501178187,49.625
GBPJPY,10,6,2399,1.9458480260184894,1.8757743826652824,1578,1.8038277767125535,821,0.5312589056436824,50.47936640266778
GBPJPY,11,6,2401,1.5231745498598692,1.5688837564311136,1580,1.4189228810897194,821,0.6709566506398057,50.2707205331112
GBPJPY,12,6,2401,1.578026694799529,1.4759009625741175,1580,1.2260181149887899,821,0.8592717030557854,50.35401915868388
GBPJPY,13,6,2407,1.0036145133358414,0.8869782694073103,1583,1.0395399657054474,824,-0.09021293980350899,50.31159119235563
GBPJPY,14,6,2407,0.1054425149976706,0.09177677337514907,1583,0.2939580889631535,824,-0.36289110593184654,49.81304528458662
GBPJPY,15,6,2409,0.5073278594415351,0.42166876602288644,1585,0.5257972478867629,824,-0.08200783400388799,49.68866749688667
GBPJPY,16,6,2411,0.30236644263370155,0.24238204089711046,1587,-0.02874486744355037,824,0.5439072919587559,50.4769805060141
GBPJPY,17,6,2411,0.5136480685150872,0.40730997329064145,1587,0.9999405094174619,824,-0.9643207735892302,52.05309000414766
GBPJPY,18,6,2411,0.5060163804188677,0.40294660519134057,1587,0.9390174531048946,824,-0.7891840415435046,50.64288676897553
GBPJPY,19,6,2411,0.6384510548278591,0.507505026769632,1587,0.6994945935430654,824,-0.1703702555492252,49.19120696806304
GBPJPY,20,6,2411,0.27420385449599083,0.22646226069328007,1587,0.4525384909307945,824,-0.3044790302438706,50.725839900456236
